employee_id,worker_name,hire_date,effective_date,reason,job_profile_from,job_profile_to,job_level_from,job_level_to,base_pay_from,base_pay_to,department_from,department_to,grade_from,grade_to,is_manager_from,is_manager_to,gender,minority_status,age,days_in_job_before_change,days_in_position_before_change,active,diverse
E00400,Alex Walker,07/23/2018,05/22/2020,Lateral Move > New Job > Same Level,Senior Associate,Director,Entry,Entry,87350.34,89530.41,Communications,Communications,10,10,0,0,Male,Minority,34,961,250,No,Minority
E00392,Riley Walker,05/27/2021,11/14/2022,Promotion > New Job > Higher Level,Administrator,Consultant,Entry,Professional,73864.18,87305.16,Communications,Communications,7,9,0,0,Male,Minority,30,426,554,Yes,Minority
E00034,Charlie Robinson,08/05/2019,08/09/2020,Lateral Move > New Job > Same Level,Consultant,Analyst I,Senior Professional,Senior Professional,77872.9,79770.83,Customer Service,Customer Service,5,5,0,0,Male,Minority,31,804,1163,No,Minority
E00034,Charlie Robinson,08/05/2019,09/15/2020,Demotion > New Job > Lower Level,Analyst I,Specialist,Senior Professional,Professional,79770.83,71116.58,Customer Service,Customer Service,5,5,0,0,Male,Minority,31,1208,542,Yes,Minority
E00034,Charlie Robinson,08/05/2019,06/13/2021,Promotion > New Job > Higher Level,Specialist,Manager,Professional,Senior Professional,71116.58,81858.4,Customer Service,Customer Service,5,6,0,0,Male,Minority,31,1721,1308,Yes,Minority
E00034,Charlie Robinson,08/05/2019,10/26/2023,Promotion > New Job > Higher Level,Manager,Senior Analyst,Senior Professional,Manager,81858.4,88678.26,Customer Service,Legal,6,7,0,1,Male,Minority,31,450,778,Yes,Minority
E00034,Charlie Robinson,08/05/2019,01/20/2021,Demotion > New Job > Lower Level,Senior Analyst,Senior Manager,Manager,Senior Professional,88678.26,80862.26,Legal,Legal,7,6,1,0,Male,Minority,31,997,627,Yes,Minority
E00160,Parker Williams,08/24/2021,03/16/2023,Lateral Move > New Job > Same Level,Senior Specialist,Senior Analyst,Entry,Entry,69473.88,70524.85,Engineering,Engineering,6,6,0,0,Male,Non-Minority,60,1740,366,Yes,Non-Minority
E00121,Kendall Young,11/17/2022,08/29/2024,Promotion > New Job > Higher Level,Director,Associate,Entry,Professional,97430.59,109432.01,Communications,Communications,11,12,0,0,Male,Minority,61,1329,1351,Yes,Minority
E00466,Parker Brown,07/03/2022,11/04/2023,Lateral Move > New Job > Same Level,Specialist,Specialist,Director,Director,121852.54,120026.59,Communications,Communications,14,14,1,1,Female,Non-Minority,65,1582,1269,No,Non-Minority
E00466,Parker Brown,07/03/2022,10/02/2023,Demotion > New Job > Lower Level,Specialist,Specialist,Director,Senior Manager,120026.59,103778.46,Communications,Communications,14,13,1,1,Female,Non-Minority,65,893,480,Yes,Non-Minority
E00444,Morgan Walker,12/06/2018,05/30/2020,Lateral Move > New Job > Same Level,Associate,Senior Analyst,Senior Professional,Senior Professional,72276.56,73835.67,Supply Chain,Engineering,7,7,0,0,Male,Minority,50,896,1352,Yes,Minority
E00444,Morgan Walker,12/06/2018,03/02/2021,Promotion > New Job > Higher Level,Senior Analyst,Associate,Senior Professional,Manager,73835.67,82405.74,Engineering,Engineering,7,8,0,1,Male,Minority,50,588,1493,Yes,Minority
E00444,Morgan Walker,12/06/2018,01/09/2022,Promotion > New Job > Higher Level,Associate,Analyst II,Manager,Senior Manager,82405.74,95892.27,Engineering,Engineering,8,9,1,1,Male,Minority,50,1694,201,No,Minority
E00419,Taylor Wright,04/06/2015,08/30/2016,Lateral Move > New Job > Same Level,Associate,Analyst II,Entry,Entry,88838.6,87147.23,Human Resources,Human Resources,9,9,0,0,Male,Non-Minority,42,804,1011,Yes,Non-Minority
E00419,Taylor Wright,04/06/2015,07/31/2017,Promotion > New Job > Higher Level,Analyst II,Associate,Entry,Professional,87147.23,95842.91,Human Resources,Human Resources,9,10,0,0,Male,Non-Minority,42,597,1209,Yes,Non-Minority
E00446,Parker Williams,01/17/2012,05/28/2013,Promotion > New Job > Higher Level,Analyst II,VP,Entry,Professional,71138.83,81344.14,Risk Management,Risk Management,7,9,0,0,Female,Non-Minority,38,1611,1458,Yes,Non-Minority
