employee_id,name,department,job_profile,job_level,grade,annual_salary,gender,minority_status,veteran,disability,age,age_group,hire_date,term_date,term_reason,term_category,manager_id,location,is_manager,highest_degree,tenure_years,exempt,grade_profile,time_in_job_years,leave_type,leave_start,leave_end,employee_type
E00001,Avery Jones,Finance,VP,Entry,9,104183.69,Female,Non-Minority,Yes,No,28,Under 30,07/01/2012,,,,,Remote,1,None,11.5,1,Technical,5.4,Medical,05/03/2018,10/06/2018,Regular
E00002,Emery Miller,Customer Service,VP,Professional,14,134752.73,Male,Minority,No,No,63,60+,02/07/2012,01/17/2015,Voluntary - Retirement,Voluntary,,Remote,1,Masters,11.9,1,Standard,5.8,None,,,Regular
E00003,Kendall Allen,Communications,Senior Analyst,Entry,5,66629.25,Female,Non-Minority,No,No,49,40-49,03/28/2016,,,,,Midwest,1,Bachelors,7.8,1,Standard,2.2,None,,,Regular
E00004,Hayden Brown,Human Resources,Specialist,Professional,6,83338.38,Male,Minority,No,No,44,40-49,07/20/2017,,,,,Remote,1,Bachelors,6.5,1,Standard,5.2,None,,,Regular
E00005,Taylor Thompson,Human Resources,Senior Associate,Entry,11,122428.96,Female,Non-Minority,No,No,62,60+,01/10/2022,,,,,Remote,1,Bachelors,2.0,1,Technical,0.9,None,,,Regular
E00006,Addison Davis,Communications,Administrator,Manager,14,137835.37,Male,Non-Minority,No,Yes,28,Under 30,07/24/2011,07/25/2012,Voluntary - Retirement,Voluntary,,West,1,Bachelors,12.4,1,Market Premium,8.4,None,,,Regular
E00007,Jamie Robinson,Operations,Consultant,Entry,8,89300.94,Female,Minority,No,No,65,60+,03/08/2018,07/01/2020,Involuntary - Restructuring,Involuntary,,Northeast,1,Doctorate,5.8,1,Technical,1.5,Military,09/29/2020,03/04/2021,Regular
E00008,Jamie Scott,Product,Senior Director,Senior Professional,11,121379.51,Male,Minority,Yes,No,57,50-59,08/31/2013,,,,,Southeast,1,Bachelors,10.3,0,Standard,2.9,None,,,Regular
E00009,Hayden Rodriguez,Communications,Analyst II,Professional,10,106890.3,Male,Non-Minority,No,No,35,30-39,09/20/2010,,,,,Remote,1,Bachelors,13.3,1,Standard,9.2,None,,,Regular
E00010,Casey Rodriguez,Research,Senior Analyst,Senior Professional,12,132417.03,Female,Minority,No,No,37,30-39,11/16/2018,,,,,Remote,1,Doctorate,5.1,0,Market Premium,4.3,None,,,Regular
E00011,Avery Jones,IT,Senior Manager,Senior Professional,11,106138.32,Female,Minority,No,No,53,50-59,08/11/2019,,,,E00006,Northeast,1,None,4.4,0,Standard,1.2,None,,,Regular
E00012,Hayden Thomas,Communications,Director,Manager,16,153494.77,Female,Minority,No,No,51,50-59,08/03/2013,,,,E00002,Remote,1,Bachelors,10.4,1,Technical,9.5,Personal,02/17/2018,06/17/2018,Regular
E00013,Kendall Clark,Research,Specialist,Professional,13,122417.26,Male,Minority,Yes,No,29,Under 30,07/27/2012,,,,E00005,Midwest,1,Masters,11.4,1,Standard,5.7,None,,,Regular
E00014,Elliot Brown,Customer Service,Administrator,Professional,7,89629.72,Female,Minority,No,No,62,60+,11/28/2015,,,,E00009,Midwest,1,Doctorate,8.1,1,Technical,2.1,None,,,Regular
E00015,Elliot Smith,Communications,Director,Senior Professional,7,102713.64,Female,Non-Minority,No,No,42,40-49,05/22/2018,,,,E00009,West,1,None,5.6,0,Standard,5.7,Personal,06/13/2021,07/24/2021,Regular
E00016,Sydney Martin,IT,Administrator,Manager,11,109538.69,Female,Non-Minority,No,No,26,Under 30,05/16/2015,07/06/2016,Voluntary - Retirement,Voluntary,E00002,Remote,1,Associates,8.6,1,Standard,6.2,None,,,Regular
E00017,Parker Miller,Marketing,Consultant,Entry,9,99093.79,Male,Non-Minority,No,No,56,50-59,05/01/2022,,,,E00010,Southeast,1,Bachelors,1.7,0,Market Premium,2.2,Personal,03/10/2022,09/03/2022,Regular
E00018,Avery Davis,Customer Service,Analyst II,Senior Professional,12,115089.76,Female,Minority,No,No,43,40-49,10/29/2019,,,,E00002,Northeast,1,Doctorate,4.2,0,Technical,1.5,None,,,Regular
E00019,Avery Williams,Finance,Consultant,Manager,11,119177.08,Male,Non-Minority,No,No,24,Under 30,12/10/2014,,,,E00001,Midwest,1,None,9.1,0,Technical,2.7,None,,,Regular
E00020,Sydney Scott,Sales,Consultant,Entry,13,122357.37,Male,Non-Minority,No,No,58,50-59,11/20/2020,,,,E00003,Remote,1,Masters,3.1,1,Standard,2.9,None,,,Regular
E00021,Blake Moore,Sales,Senior Specialist,Senior Professional,6,82252.13,Male,Minority,No,Yes,51,50-59,02/17/2019,,,,E00007,Northeast,1,None,4.9,0,Standard,2.5,None,,,Regular
E00022,Quinn Miller,Communications,Senior Manager,Manager,11,110661.64,Male,Non-Minority,No,No,50,40-49,08/11/2017,,,,E00004,Southeast,1,Masters,6.4,1,Standard,2.3,None,,,Regular
E00023,Peyton King,Risk Management,Administrator,Professional,6,77316.02,Male,Non-Minority,No,No,57,50-59,08/09/2015,,,,E00008,Northeast,1,None,8.4,1,Technical,8.9,None,,,Regular
E00024,Finley Miller,Marketing,Administrator,VP,16,151189.15,Male,Non-Minority,No,No,47,40-49,05/01/2010,11/14/2011,Voluntary - Retirement,Voluntary,E00008,Northeast,1,Associates,13.7,0,Market Premium,0.5,None,,,Regular
E00025,Logan Walker,Engineering,Coordinator,Professional,12,127155.5,Female,Non-Minority,No,No,57,50-59,10/04/2018,,,,E00007,West,1,Associates,5.2,1,Standard,2.0,Parental,08/28/2018,02/05/2019,Regular
E00026,Jordan Johnson,Supply Chain,Director,Manager,10,107282.69,Male,Non-Minority,No,No,52,50-59,12/28/2022,,,,E00006,Remote,1,Doctorate,1.0,1,Standard,0.6,None,,,Regular
